measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Acre,Both,Age-standardized,All causes,Rate,2019,20450.382807419788,22283.94594952885,18684.310098083304
YLLs (Years of Life Lost),Minas Gerais,Both,All ages,All causes,Number,2019,3765132.5177623765,4079097.747780807,3479354.2548444425
YLLs (Years of Life Lost),Minas Gerais,Both,All ages,All causes,Rate,2019,17358.10343572067,18805.55340253319,16040.601694677558
YLLs (Years of Life Lost),Minas Gerais,Both,Age-standardized,All causes,Rate,2019,16506.782172434174,17975.010838818765,15178.010363425392
YLLs (Years of Life Lost),Rio de Janeiro,Both,All ages,All causes,Number,2019,3611407.1061232127,3912096.408320623,3340672.7712949044
YLLs (Years of Life Lost),Rio de Janeiro,Both,All ages,All causes,Rate,2019,20434.545915101782,22135.946275508322,18902.640750917017
YLLs (Years of Life Lost),Rio de Janeiro,Both,Age-standardized,All causes,Rate,2019,18689.91628835162,20177.403364909285,17348.24077392081
YLLs (Years of Life Lost),Rio Grande do Norte,Both,All ages,All causes,Number,2019,655631.375567955,743827.795297297,574787.1115943756
YLLs (Years of Life Lost),Rio Grande do Norte,Both,All ages,All causes,Rate,2019,17535.6459907665,19894.56481567331,15373.369372755824
YLLs (Years of Life Lost),Rio Grande do Norte,Both,Age-standardized,All causes,Rate,2019,17323.469909646352,19596.741504474943,15238.202298891054
YLLs (Years of Life Lost),Maranhão,Both,All ages,All causes,Number,2019,1591534.8473526814,1800727.8416221507,1388151.4863938515
YLLs (Years of Life Lost),Maranhão,Both,All ages,All causes,Rate,2019,19037.589396910404,21539.90993122787,16604.76241700591
YLLs (Years of Life Lost),Maranhão,Both,Age-standardized,All causes,Rate,2019,20449.145652127434,23273.231819331566,17884.508324299204
YLLs (Years of Life Lost),Goiás,Both,All ages,All causes,Number,2019,1274595.5088672703,1454356.1519872264,1116022.807131586
YLLs (Years of Life Lost),Goiás,Both,All ages,All causes,Rate,2019,18536.346238559363,21150.59169741778,16230.235411314523
YLLs (Years of Life Lost),Goiás,Both,Age-standardized,All causes,Rate,2019,19075.93902996558,21519.175306853096,16877.856095788135
YLLs (Years of Life Lost),Tocantins,Both,All ages,All causes,Number,2019,276440.8962446995,308534.165591831,246133.4536588621
YLLs (Years of Life Lost),Tocantins,Both,All ages,All causes,Rate,2019,16839.05524428979,18793.977048000987,14992.914868719954
YLLs (Years of Life Lost),Tocantins,Both,Age-standardized,All causes,Rate,2019,18306.320233473692,20412.6644681817,16311.58980382054
YLLs (Years of Life Lost),Espírito Santo,Both,All ages,All causes,Number,2019,771109.8060676884,844363.9276619053,696816.8245237201
YLLs (Years of Life Lost),Espírito Santo,Both,All ages,All causes,Rate,2019,19399.584038114535,21242.511565196888,17530.52086765112
YLLs (Years of Life Lost),Espírito Santo,Both,Age-standardized,All causes,Rate,2019,19242.688394474833,21150.04971791977,17413.26077559856
YLLs (Years of Life Lost),Acre,Both,All ages,All causes,Number,2019,157377.40141029295,172102.18337886358,143315.7464685813
YLLs (Years of Life Lost),Acre,Both,All ages,All causes,Rate,2019,16987.323539690868,18576.7171445541,15469.50789489189
YLLs (Years of Life Lost),Piauí,Both,All ages,All causes,Number,2019,645506.3111907358,711434.7422311993,584276.6109085184
YLLs (Years of Life Lost),Piauí,Both,All ages,All causes,Rate,2019,17474.957923690676,19259.75311226416,15817.365398935674
YLLs (Years of Life Lost),Piauí,Both,Age-standardized,All causes,Rate,2019,17392.36463804115,19196.902936915787,15721.394794606374
YLLs (Years of Life Lost),São Paulo,Both,All ages,All causes,Number,2019,7548714.7594957175,8161601.501968002,6966969.292322213
YLLs (Years of Life Lost),São Paulo,Both,All ages,All causes,Rate,2019,16583.60978135556,17930.04753945751,15305.585623992609
YLLs (Years of Life Lost),São Paulo,Both,Age-standardized,All causes,Rate,2019,15922.638747335584,17153.519264542883,14778.705733402967
YLLs (Years of Life Lost),Brazil,Both,All ages,All causes,Number,2019,39218078.48620232,40820934.994500816,37756729.73054109
YLLs (Years of Life Lost),Brazil,Both,All ages,All causes,Rate,2019,18100.80641192778,18840.592665683613,17426.33198718406
YLLs (Years of Life Lost),Brazil,Both,Age-standardized,All causes,Rate,2019,18066.18503763233,18969.630354245553,17202.84872458047
YLLs (Years of Life Lost),Distrito Federal,Both,Age-standardized,All causes,Rate,2019,15318.15344268656,16608.118050620134,14197.091617910406
YLLs (Years of Life Lost),Pernambuco,Both,All ages,All causes,Number,2019,2213038.124114665,2414162.2494950923,2009504.8443466024
YLLs (Years of Life Lost),Pernambuco,Both,All ages,All causes,Rate,2019,21851.14222000103,23837.005825183693,19841.491055724582
YLLs (Years of Life Lost),Pernambuco,Both,Age-standardized,All causes,Rate,2019,22246.77404004202,24317.48212434754,20173.95745763425
YLLs (Years of Life Lost),Paraná,Both,All ages,All causes,Number,2019,2077863.4350375945,2276902.6509480807,1892603.2504996262
YLLs (Years of Life Lost),Paraná,Both,All ages,All causes,Rate,2019,18243.281586206915,19990.81147740364,16616.729207331442
YLLs (Years of Life Lost),Paraná,Both,Age-standardized,All causes,Rate,2019,17644.546991701372,19381.095046330713,15990.756618446409
YLLs (Years of Life Lost),Santa Catarina,Both,Age-standardized,All causes,Rate,2019,16160.118476197276,17819.06145302923,14709.846898246931
YLLs (Years of Life Lost),Ceará,Both,All ages,All causes,Number,2019,2013813.8340613872,2304384.202575217,1759132.892062331
