Indicadores Estaduais
D.Total Saúde por UF e Ano
Período:2015-2019
"UF";"2015";"2016";"2017";"2018";"2019";"Total"
"Rondônia";1013683107,42;1015775747,33;1159143996,60;1106659149,14;1150592869,81;5445854870,30
"Acre";837773665,82;838593385,35;881010481,00;961271662,35;959616130,89;4478265325,41
"Amazonas";2636557778,74;2805953210,84;2477069877,35;2823655932,41;3014212482,91;13757449282,25
"Roraima";520052039,40;584909741,29;697452427,55;701053977,99;752349323,00;3255817509,23
"Pará";2246542970,65;2412217670,81;2637215232,70;3150347460,17;2906484587,70;13352807922,03
"Amapá";623894669,65;705752192,10;694594789,20;771145943,00;841087227,00;3636474820,95
"Tocantins";1312963159,54;1407531830,51;1440251103,80;1454045822,38;1575836178,68;7190628094,91
"Maranhão";1754904710,28;2015205683,12;2182748664,35;2271616149,04;2416403820,21;10640879027,00
"Piauí";1088149642,54;1198580371,03;1279050149,31;1372195214,57;1466849782,11;6404825159,56
"Ceará";2800253376,55;3054043780,24;3366803761,64;3683109270,64;3765779018,53;16669989207,60
"Rio Grande do Norte";1397861886,73;1353287165,68;1510732516,71;1767528315,46;1534034839,82;7563444724,40
"Paraíba";1202893933,59;1262273415,42;1308774779,75;1471009659,29;1365804282,51;6610756070,56
"Pernambuco";4669957868,48;4827710945,61;5158660518,51;5279585019,37;5631470758,87;25567385110,84
"Alagoas";1079915879,80;1134733994,51;1125543425,92;1331276196,91;1367704683,52;6039174180,66
"Sergipe";937183405,72;1003467115,38;1042508822,05;1159398663,66;1240888419,62;5383446426,43
"Bahia";4602991293,93;4863733685,03;5360894133,76;5816435169,42;6221078506,15;26865132788,29
"Minas Gerais";6723060881,93;6946294915,28;7109030515,64;6249111016,87;8811483425,21;35838980754,93
"Espírito Santo";2504370921,96;2362711109,31;2543166669,32;2824781570,39;2847890994,16;13082921265,14
"Rio de Janeiro";5577261508,91;5128751031,91;6517863796,29;6357279030,26;6008704851,47;29589860218,84
"São Paulo";23558340849,76;23999111900,46;22147115731,67;23069575208,62;23635746289,24;116409889979,75
"Paraná";4329537975,85;4636106141,14;5108256325,41;5404472719,98;5373370640,07;24851743802,45
"Santa Catarina";2815403008,52;3010599058,54;3179706613,42;3664393990,23;3511276788,21;16181379458,92
"Rio Grande do Sul";4185612249,85;4435809454,96;4604518485,91;4980512056,37;5211529803,47;23417982050,56
"Mato Grosso do Sul";1410757301,12;1458564755,53;1756658466,49;1529685463,62;1586044605,36;7741710592,12
"Mato Grosso";1408920974,35;1667726792,60;1605034409,42;1847790503,54;1826584856,82;8356057536,73
"Goiás";1936532182,39;2052191910,61;2157493812,81;2527879106,49;4198401683,18;12872498695,48
"Total";83175377243,48;86181637004,59;89051299506,58;93575814272,17;99221226848,52;451205354875,34
